code,name,date,close,pct_change,close_to_high,vol_ratio20,vol_ratio50,macd_hist,score,reasons
600378,昊华科技,2026-06-04,43.56,0.0459,0.9574,1.775,2.967,1.2407,8.0,??????????????20????????60??????????
002951,金时科技,2026-06-04,24.79,0.0998,1.0,1.755,2.673,1.5334,8.0,??????????????20????????60???????????MACD???????????
603678,火炬电子,2026-06-04,64.55,0.0097,0.9789,1.742,3.033,6.0484,8.0,?????????????????20????????60???????????MACD???????????
600367,XD红星发,2026-06-04,46.98,0.0997,1.0,1.692,1.859,3.8672,8.0,??????????????20????????60???????????MACD???????????
001331,胜通能源,2026-05-27,69.78,0.0287,0.9617,1.69,2.101,3.6403,8.0,????????????20????????60???????????MACD????
002334,英威腾,2026-06-04,9.47,0.0522,0.9865,1.645,2.397,-0.0007,8.0,?????????????????????20?????????????
605162,新中港,2026-06-04,12.71,0.1004,1.0,1.62,1.132,0.3407,8.0,??????????????20??????????????MACD?3???
603800,洪田股份,2026-06-04,77.0,0.0149,0.9577,1.573,2.087,2.5136,8.0,????????????20????????60???????????MACD????
000723,美锦能源,2026-06-04,4.44,0.0045,0.9845,1.42,1.381,0.1224,8.0,?????????????????20???????????MACD????
601225,陕西煤业,2026-06-04,27.41,0.0107,0.972,1.361,1.538,0.8476,8.0,????????????20????????60???????????MACD????
603060,国检集团,2026-06-04,7.21,0.0241,1.0,1.306,1.59,0.061,8.0,??????????????20??????????????MACD?3???
000636,风华高科,2026-06-04,63.5,0.0489,0.9831,1.221,1.809,5.0795,8.0,??????????????20????????60???????????MACD???????????
600403,大有能源,2026-06-04,7.4,0.0996,1.0,1.112,1.176,0.4662,8.0,?????????20????????60???????????MACD????
603078,江化微,2026-06-04,37.78,0.058,0.9788,1.111,1.89,0.3123,8.0,??????????????20????????60??????????
001896,豫能控股,2026-06-04,22.09,0.1001,1.0,1.041,1.086,1.0382,8.0,?????????20????????60???????????MACD????
603458,勘设股份,2026-06-04,14.39,0.0397,0.9802,0.971,1.18,-0.0176,8.0,??????????????20????????60??????????
600105,永鼎股份,2026-06-04,54.29,0.0456,0.988,0.938,0.908,-0.2445,8.0,????????????????20????????60?????????????
600114,东睦股份,2026-06-04,39.61,0.0099,0.989,0.842,1.224,0.3383,8.0,??????????????20????????60??????????????MACD????
600246,万通发展,2026-06-04,18.87,0.1003,1.0,0.79,1.231,0.4703,8.0,?????????20????????60???????????MACD????
600353,旭光电子,2026-06-04,26.44,0.0998,1.0,0.728,1.147,0.1826,8.0,?????????20????????60??????????????MACD?3???
600667,太极实业,2026-06-04,16.36,0.1002,1.0,0.659,0.956,0.4304,8.0,?????????20????????60???????????MACD????
000520,凤凰航运,2026-06-04,4.18,0.1,1.0,3.296,3.663,0.0441,7.0,????????????????????MACD?3???
601015,陕西黑猫,2026-06-04,4.25,0.0625,0.9659,3.049,2.172,0.1707,7.0,??????????????20??????MACD????
600792,云煤能源,2026-06-04,4.58,0.0155,0.9582,2.373,1.725,0.1441,7.0,????????????20??????????????MACD????
002480,新筑股份,2026-06-04,6.41,0.0372,0.9639,2.347,2.367,0.0212,7.0,????????????????????MACD?3???
603661,恒林股份,2026-06-04,36.41,0.0681,0.9709,2.331,4.222,1.0246,7.0,?????????????????????????MACD????
603135,中重科技,2026-06-04,12.75,0.1001,1.0,2.314,2.685,0.0513,7.0,????????????????????MACD?3???
002579,中京电子,2026-06-04,20.61,0.0596,0.9814,2.209,3.155,1.3541,7.0,?????????????????????
600997,开滦股份,2026-06-04,5.86,0.0281,0.9849,2.061,1.583,0.1354,7.0,?????????????????20??????MACD????
002869,金溢科技,2026-06-04,19.36,0.0499,0.9773,2.01,1.325,0.106,7.0,?????????????????MACD?3???
000766,通化金马,2026-06-04,24.7,0.0533,0.9574,1.863,1.597,0.098,7.0,?????????????????MACD?3???
